nom,ville,region,adresse,site_web,type,note,marques,source,statut
10 CORSO COMO,Milan,Lombardie,"Corso Como 10, 20154 Milano, Lombardia",www.10corsocomo.com,Concept Store,4.4/5,"Acne Studios, Alaïa, Balenciaga, Comme des Garçons, Loewe, Maison Margiela",,
ANTONIA,Milan,Lombardie,"Via Cusani 5, 20121 Milano, Lombardia",www.antonia.it,Fashion Accessories Store,4.3/5,Créateurs internationaux,,
13METRIQUADRI,Bellaria,Émilie-Romagne,"Viale dei Platani 102, Bellaria, Emilia-Romagna",www.13metriquadri.it,Men's Store,,"Ami, Golden Goose, Palm Angels",,
TORRE A.M.R.,Chiavari,Ligurie,"Via Martiri della Liberazione 155, 16043 Chiavari, Liguria",www.aemmerre.com,Apparel (H/F),,"Burberry, Chloé, Moncler",,
A.N.G.E.L.O. VINTAGE PALACE,Lugo di Ravenna,Émilie-Romagne,"Corso Garibaldi 59, 48022 Lugo, Emilia-Romagna",www.angelo.it,Vintage/Archive,,"Chanel, Givenchy, Hermès vintage",,
MODES CAGLIARI,Cagliari,Sardaigne,"Piazza Ichnusa 21, 09124 Cagliari, Sardegna",www.modes.com,Multimarque,4.6/5,Luxe multimarques,,
BIFFI,Milan,Lombardie,"Corso Magenta 87, 20123 Milano",www.biffipasticceria.it,Boutique Historique,,,,
BANNER (BIFFI),Milan,Lombardie,"Via Sant'Andrea 8, 20121 Milano",www.biffi.com,Women's Store,,,,
EXCELSIOR MILANO,Milan,Lombardie,"Galleria del Corso 4, 20122 Milano",www.excelsiormilano.com,Department Store,,,,
L'ECLAIREUR MILAN,Milan,Lombardie,"Via Brera 3, 20121 Milano",,Concept Store,,,,
SMETS MILAN,Milan,Lombardie,"Via Sant'Andrea 15, 20121 Milano",,Multi-brand,,,,
EXCELSIOR COIN ROME,Rome,Lazio,"Via Cola di Rienzo 173, Roma",,Boutique Luxe,,,,
GENTE ROMA,Rome,Lazio,"Via del Babuino 81, 00187 Roma",,Multi-brand,,,,
FLORENCE FACTORY,Florence,Toscane,"Via dei Neri 6/8 rosso, Firenze",,Mode Contemporaine,,,,
LUISA VIA ROMA,Florence,Toscane,"Via Roma 19-21r, 50123 Firenze",www.luisaviaroma.com,Luxury Department Store,,,,
AL GIROTONDO,Venice,Vénétie,Cœur de Venise,,Boutique Enfants,,"Chloé, D&G, Moncler",,
F.R.A.V.,Turin,Piémont,"Via Po 1, Torino",,Mode Avant-garde,,,,
MARINO ATELIER,Naples,Campanie,"Via Chiaia 181, 80132 Napoli",,Atelier Mode,,,,
TESSABIT,Como,Lombardie,"Via Volta 15, 22100 Como",www.tessabit.com,Multi-brand Luxury,,,,
MODES,Cagliari,Sardaigne,"Piazza Ichnusa 21, Cagliari",www.modes.com,Multi-brand,,,,
SUGAR GENOVA,Genova,Ligurie,"Via del Campo 3r, Genova",,Street Fashion,,,,
COLTORTI BOUTIQUE,Pesaro,Marches,"Via della Liberazione 7, Pesaro",www.coltorti.com,Luxury Multi-brand,,,,
FASHION CLINIC,Bologna,Émilie-Romagne,"Centro storico, Bologna",,Multi-brand,,,Estimation basée sur patterns,À vérifier
MODES VERONA,Verona,Vénétie,"Centro storico, Verona",,Multi-brand,,,Estimation basée sur patterns,À vérifier
